"","word","category","institution","n","date"
"1","cdata","Learnings","IKEA Foundation",132,2024-01-16
"2","google","Learnings","IKEA Foundation",132,2024-01-16
"3","cdata","Programs","IKEA Foundation",96,2024-01-16
"4","google","Programs","IKEA Foundation",96,2024-01-16
"5","settings","Learnings","IKEA Foundation",77,2024-01-16
"6","analytics","Learnings","IKEA Foundation",66,2024-01-16
"7","formid","Learnings","IKEA Foundation",66,2024-01-16
"8","settings","Programs","IKEA Foundation",57,2024-01-16
"9","manager","Learnings","IKEA Foundation",55,2024-01-16
"10","analytics","Programs","IKEA Foundation",48,2024-01-16
"11","cdata","About","IKEA Foundation",48,2024-01-16
"12","formid","Programs","IKEA Foundation",48,2024-01-16
"13","google","About","IKEA Foundation",48,2024-01-16
"14","domain","Learnings","IKEA Foundation",44,2024-01-16
"15","fields","Learnings","IKEA Foundation",44,2024-01-16
"16","native","Learnings","IKEA Foundation",44,2024-01-16
"17","privacy","Learnings","IKEA Foundation",44,2024-01-16
"18","manager","Programs","IKEA Foundation",40,2024-01-16
"19","impact","Learnings","IKEA Foundation",38,2024-01-16
"20","external","Learnings","IKEA Foundation",33,2024-01-16
"21","fields","Programs","IKEA Foundation",33,2024-01-16
"22","isinit","Learnings","IKEA Foundation",33,2024-01-16
"23","scripts","Learnings","IKEA Foundation",33,2024-01-16
"24","visit","Learnings","IKEA Foundation",33,2024-01-16
"25","domain","Programs","IKEA Foundation",32,2024-01-16
"26","native","Programs","IKEA Foundation",32,2024-01-16
"27","privacy","Programs","IKEA Foundation",32,2024-01-16
"28","partners","Learnings","IKEA Foundation",31,2024-01-16
"29","programme","Learnings","IKEA Foundation",28,2024-01-16
"30","settings","About","IKEA Foundation",28,2024-01-16
"31","energy","Programs","IKEA Foundation",27,2024-01-16
"32","improve","Learnings","IKEA Foundation",27,2024-01-16
"33","change","Learnings","IKEA Foundation",25,2024-01-16
"34","analytics","About","IKEA Foundation",24,2024-01-16
"35","change","Programs","IKEA Foundation",24,2024-01-16
"36","external","Programs","IKEA Foundation",24,2024-01-16
"37","formid","About","IKEA Foundation",24,2024-01-16
"38","isinit","Programs","IKEA Foundation",24,2024-01-16
"39","learnings","Learnings","IKEA Foundation",24,2024-01-16
"40","partners","Programs","IKEA Foundation",24,2024-01-16
"41","report","Learnings","IKEA Foundation",24,2024-01-16
"42","scripts","Programs","IKEA Foundation",24,2024-01-16
"43","visit","Programs","IKEA Foundation",24,2024-01-16
"44","people","Programs","IKEA Foundation",23,2024-01-16
"45","climate","Programs","IKEA Foundation",22,2024-01-16
"46","enable","Learnings","IKEA Foundation",22,2024-01-16
"47","number","Learnings","IKEA Foundation",22,2024-01-16
"48","platform","Learnings","IKEA Foundation",22,2024-01-16
"49","rnscript","Learnings","IKEA Foundation",22,2024-01-16
"50","trust","Learnings","IKEA Foundation",22,2024-01-16
"51","values","Learnings","IKEA Foundation",22,2024-01-16
"52","manager","About","IKEA Foundation",20,2024-01-16
"53","improve","Programs","IKEA Foundation",19,2024-01-16
"54","business","Learnings","IKEA Foundation",18,2024-01-16
"55","ladder","Learnings","IKEA Foundation",18,2024-01-16
"56","enable","Programs","IKEA Foundation",17,2024-01-16
"57","fields","About","IKEA Foundation",17,2024-01-16
"58","grant","Learnings","IKEA Foundation",17,2024-01-16
"59","impact","Programs","IKEA Foundation",17,2024-01-16
"60","number","Programs","IKEA Foundation",17,2024-01-16
"61","partners","About","IKEA Foundation",17,2024-01-16
"62","phase","Learnings","IKEA Foundation",17,2024-01-16
"63","refugee","Learnings","IKEA Foundation",17,2024-01-16
"64","renewable","Programs","IKEA Foundation",17,2024-01-16
"65","themes","Programs","IKEA Foundation",17,2024-01-16
"66","trust","Programs","IKEA Foundation",17,2024-01-16
"67","committed","Programs","IKEA Foundation",16,2024-01-16
"68","domain","About","IKEA Foundation",16,2024-01-16
"69","native","About","IKEA Foundation",16,2024-01-16
"70","platform","Programs","IKEA Foundation",16,2024-01-16
"71","privacy","About","IKEA Foundation",16,2024-01-16
"72","rnscript","Programs","IKEA Foundation",16,2024-01-16
"73","values","Programs","IKEA Foundation",16,2024-01-16
"74","climate","Grantmaking","IKEA Foundation",15,2024-01-16
"75","provide","Learnings","IKEA Foundation",15,2024-01-16
"76","board","About","IKEA Foundation",14,2024-01-16
"77","change","About","IKEA Foundation",14,2024-01-16
"78","grant","About","IKEA Foundation",14,2024-01-16
"79","people","About","IKEA Foundation",14,2024-01-16
"80","trust","About","IKEA Foundation",14,2024-01-16
"81","values","About","IKEA Foundation",14,2024-01-16
"82","apply","Learnings","IKEA Foundation",13,2024-01-16
"83","funding","About","IKEA Foundation",13,2024-01-16
"84","funding","Learnings","IKEA Foundation",13,2024-01-16
"85","including","Learnings","IKEA Foundation",13,2024-01-16
"86","learn","Learnings","IKEA Foundation",13,2024-01-16
"87","policy","Learnings","IKEA Foundation",13,2024-01-16
"88","provide","Programs","IKEA Foundation",13,2024-01-16
"89","refugee","Programs","IKEA Foundation",13,2024-01-16
"90","refugees","Programs","IKEA Foundation",13,2024-01-16
"91","cdata","Grantmaking","IKEA Foundation",12,2024-01-16
"92","cdata","People","IKEA Foundation",12,2024-01-16
"93","enables","Learnings","IKEA Foundation",12,2024-01-16
"94","external","About","IKEA Foundation",12,2024-01-16
"95","google","Grantmaking","IKEA Foundation",12,2024-01-16
"96","google","People","IKEA Foundation",12,2024-01-16
"97","helping","Programs","IKEA Foundation",12,2024-01-16
"98","impact","About","IKEA Foundation",12,2024-01-16
"99","ingka","About","IKEA Foundation",12,2024-01-16
"100","isinit","About","IKEA Foundation",12,2024-01-16
"101","making","Learnings","IKEA Foundation",12,2024-01-16
"102","measures","Learnings","IKEA Foundation",12,2024-01-16
"103","offered","Learnings","IKEA Foundation",12,2024-01-16
"104","reports","Learnings","IKEA Foundation",12,2024-01-16
"105","review","Learnings","IKEA Foundation",12,2024-01-16
"106","scripts","About","IKEA Foundation",12,2024-01-16
"107","themes","Learnings","IKEA Foundation",12,2024-01-16
"108","visit","About","IKEA Foundation",12,2024-01-16
"109","accept","Learnings","IKEA Foundation",11,2024-01-16
"110","agency","Learnings","IKEA Foundation",11,2024-01-16
"111","agreement","Learnings","IKEA Foundation",11,2024-01-16
"112","allowed","Learnings","IKEA Foundation",11,2024-01-16
"113","annual","Learnings","IKEA Foundation",11,2024-01-16
"114","async","Learnings","IKEA Foundation",11,2024-01-16
"115","brand","Learnings","IKEA Foundation",11,2024-01-16
"116","browser","Learnings","IKEA Foundation",11,2024-01-16
"117","choices","Learnings","IKEA Foundation",11,2024-01-16
"118","chrome","Learnings","IKEA Foundation",11,2024-01-16
"119","coalition","Learnings","IKEA Foundation",11,2024-01-16
"120","complete","Learnings","IKEA Foundation",11,2024-01-16
"121","concerns","Learnings","IKEA Foundation",11,2024-01-16
"122","contents","Learnings","IKEA Foundation",11,2024-01-16
"123","cookie","Learnings","IKEA Foundation",11,2024-01-16
"124","defaults","Learnings","IKEA Foundation",11,2024-01-16
"125","delay","Learnings","IKEA Foundation",11,2024-01-16
"126","device","Learnings","IKEA Foundation",11,2024-01-16
"127","documents","Learnings","IKEA Foundation",11,2024-01-16
"128","dollo","Learnings","IKEA Foundation",11,2024-01-16
"129","emergency","Programs","IKEA Foundation",11,2024-01-16
"130","enhance","Learnings","IKEA Foundation",11,2024-01-16
"131","exceeds","Learnings","IKEA Foundation",11,2024-01-16
"132","falseelse","Learnings","IKEA Foundation",11,2024-01-16
"133","families","Programs","IKEA Foundation",11,2024-01-16
"134","files","Learnings","IKEA Foundation",11,2024-01-16
"135","flexbody","Learnings","IKEA Foundation",11,2024-01-16
"136","funding","Programs","IKEA Foundation",11,2024-01-16
"137","gettime","Learnings","IKEA Foundation",11,2024-01-16
"138","gfglobal","Learnings","IKEA Foundation",11,2024-01-16
"139","gflegacy","Learnings","IKEA Foundation",11,2024-01-16
"140","global","Grantmaking","IKEA Foundation",11,2024-01-16
"141","gridbody","Learnings","IKEA Foundation",11,2024-01-16
"142","iftypeof","Learnings","IKEA Foundation",11,2024-01-16
"143","inherit","Learnings","IKEA Foundation",11,2024-01-16
"144","inside","Learnings","IKEA Foundation",11,2024-01-16
"145","isform","Learnings","IKEA Foundation",11,2024-01-16
"146","islegacy","Learnings","IKEA Foundation",11,2024-01-16
"147","landscape","Learnings","IKEA Foundation",11,2024-01-16
"148","logic","Learnings","IKEA Foundation",11,2024-01-16
"149","making","About","IKEA Foundation",11,2024-01-16
"150","making","Programs","IKEA Foundation",11,2024-01-16
"151","marketing","Learnings","IKEA Foundation",11,2024-01-16
"152","monthly","Learnings","IKEA Foundation",11,2024-01-16
"153","partner","Learnings","IKEA Foundation",11,2024-01-16
"154","parts","Learnings","IKEA Foundation",11,2024-01-16
"155","planet","Programs","IKEA Foundation",11,2024-01-16
"156","pluraln","Learnings","IKEA Foundation",11,2024-01-16
"157","popular","Learnings","IKEA Foundation",11,2024-01-16
"158","press","Learnings","IKEA Foundation",11,2024-01-16
"159","problem","Learnings","IKEA Foundation",11,2024-01-16
"160","reject","Learnings","IKEA Foundation",11,2024-01-16
"161","saved","Learnings","IKEA Foundation",11,2024-01-16
"162","saving","Learnings","IKEA Foundation",11,2024-01-16
"163","scriptrn","Learnings","IKEA Foundation",11,2024-01-16
"164","service","Learnings","IKEA Foundation",11,2024-01-16
"165","signing","Learnings","IKEA Foundation",11,2024-01-16
"166","solar","Programs","IKEA Foundation",11,2024-01-16
"167","stories","Learnings","IKEA Foundation",11,2024-01-16
