"","cat","word1","word2","n","date","institution"
"1","Learnings","ikea","foundation",321,2024-01-20,"IKEA Foundation "
"2","Learnings","cooperative","members",318,2024-01-20,"IKEA Foundation "
"3","Learnings","staff","member",200,2024-01-20,"IKEA Foundation "
"4","Learnings","economic","research",169,2024-01-20,"IKEA Foundation "
"5","Learnings","wageningen","economic",154,2024-01-20,"IKEA Foundation "
"6","Learnings","research","rapport",153,2024-01-20,"IKEA Foundation "
"7","Grants","performance","ladder",131,2024-01-20,"IKEA Foundation "
"8","Learnings","host","community",111,2024-01-20,"IKEA Foundation "
"9","Learnings","data","collection",109,2024-01-20,"IKEA Foundation "
"10","Learnings","member","melkadida",99,2024-01-20,"IKEA Foundation "
"11","Learnings","based","targets",97,2024-01-20,"IKEA Foundation "
"12","Learnings","refugee","livelihoods",96,2024-01-20,"IKEA Foundation "
"13","Learnings","climate","change",89,2024-01-20,"IKEA Foundation "
"14","Learnings","targets","initiative",86,2024-01-20,"IKEA Foundation "
"15","Learnings","meat","selling",83,2024-01-20,"IKEA Foundation "
"16","Learnings","nscience","based",81,2024-01-20,"IKEA Foundation "
"17","Learnings","kirinyaga","county",80,2024-01-20,"IKEA Foundation "
"18","Learnings","private","sector",80,2024-01-20,"IKEA Foundation "
"19","Learnings","initiative","review",79,2024-01-20,"IKEA Foundation "
"20","Learnings","evaluation","framework",75,2024-01-20,"IKEA Foundation "
"21","Learnings","agriculture","cooperative",70,2024-01-20,"IKEA Foundation "
"22","Learnings","comparison","group",70,2024-01-20,"IKEA Foundation "
"23","Learnings","framework","report",69,2024-01-20,"IKEA Foundation "
"24","Learnings","impact","evaluation",68,2024-01-20,"IKEA Foundation "
"25","Learnings","financial","institutions",67,2024-01-20,"IKEA Foundation "
"26","Learnings","selling","cooperative",67,2024-01-20,"IKEA Foundation "
"27","Learnings","nursus","consulting",64,2024-01-20,"IKEA Foundation "
"28","Grants","supply","chain",63,2024-01-20,"IKEA Foundation "
"29","Grants","strategic","evaluation",62,2024-01-20,"IKEA Foundation "
